inscription_id,sign_sequence,site,object_type,line_count,damaged,reading_direction,motif
M-152A,P324 P096 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-153A,P067 P026 P076,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-154A,P217 P050 P092 P122 P300 P182 P265,Mohenjo-daro,seal,2,True,L-R,unicorn_IV
M-155A,P324 P194 P144,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-157A,P324 P154 P355 P058 P075 P121 P378,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-158A,P086 P126 P120 P230,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-159A,P324 P136 P325 P166 P290,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-160A,P001 P048 P144 P122 P378 P325,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-161A,P268 P268 P037 P123,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-162A,P324 P332 P349 P230 P234 P123,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-163A,P217 P050 P092 P120 P378,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-164A,P324 P031 P204 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-165A,P324 P332 P121 P325 P086 P122 P385 P324 P076,Mohenjo-daro,seal,2,True,L-R,unicorn_IV
M-166A,P086 P349 P062 P364 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-167A,P324 P000 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-169A,P324 P289 P127 P000 P145,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-170A,P324 P175 P086 P204 P114 P145 P325 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-171A,P086 P204 P324 P175 P058 P364 P120 P256,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-172A,P086 P128 P121 P050 P117 P355,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-173A,P324 P110 P160 P303 P364,Mohenjo-daro,seal,1,False,L-R,unicorn_IV
M-174A,P324 P175 P050 P145 P122 P378,Mohenjo-daro,seal,1,True,L-R,unicorn_IV
M-175A,P000 P122 P385,Mohenjo-daro,seal,1,True,L-R,unicorn_V
M-176A,P000 P255,Mohenjo-daro,seal,1,False,L-R,unicorn_V
M-177A,P086 P123 P122 P385,Mohenjo-daro,seal,1,False,L-R,unicorn_V
M-178A,P086 P126,Mohenjo-daro,seal,1,False,L-R,unicorn_V
M-179A,P086 P123,Mohenjo-daro,seal,1,False,L-R,unicorn_V
M-180A,P324 P265,Mohenjo-daro,seal,1,True,L-R,unicorn_V
